percentile,latency_us
1.0,10840
1.1,10936
1.2,11020
1.3,11105
1.4,11177
1.5,11257
1.6,11323
1.7,11387
1.8,11456
1.9,11516
2.0,11592
2.1,11651
2.2,11710
2.3,11775
2.4,11828
2.5,11878
2.6,11921
2.7,11986
2.8,12024
2.9,12079
3.0,12119
3.1,12177
3.2,12239
3.3,12288
3.4,12336
3.5,12381
3.6,12422
3.7,12462
3.8,12505
3.9,12542
4.0,12588
4.1,12631
4.2,12666
4.3,12699
4.4,12734
4.5,12773
4.6,12824
4.7,12867
4.8,12910
4.9,12943
5.0,12985
5.1,13030
5.2,13070
5.3,13106
5.4,13137
5.5,13176
5.6,13210
5.7,13237
5.8,13262
5.9,13292
6.0,13326
6.1,13361
6.2,13397
6.3,13433
6.4,13471
6.5,13513
6.6,13553
6.7,13591
6.8,13619
6.9,13650
7.0,13678
7.1,13715
7.2,13742
7.3,13773
7.4,13802
7.5,13828
7.6,13856
7.7,13890
7.8,13921
7.9,13951
8.0,13985
8.1,14016
8.2,14043
8.3,14081
8.4,14109
8.5,14135
8.6,14170
8.7,14209
8.8,14240
8.9,14266
9.0,14291
9.1,14331
9.2,14362
9.3,14386
9.4,14415
9.5,14449
9.6,14470
9.7,14496
9.8,14527
9.9,14551
10.0,14586
10.1,14623
10.2,14646
10.3,14674
10.4,14701
10.5,14732
10.6,14763
10.7,14795
10.8,14825
10.9,14857
11.0,14882
11.1,14907
11.2,14930
11.3,14962
11.4,14987
11.5,15010
11.6,15038
11.7,15066
11.8,15091
11.9,15122
12.0,15150
12.1,15182
12.2,15209
12.3,15229
12.4,15255
12.5,15290
12.6,15310
12.7,15334
12.8,15363
12.9,15392
13.0,15424
13.1,15452
13.2,15478
13.3,15511
13.4,15538
13.5,15559
13.6,15585
13.7,15609
13.8,15635
13.9,15662
14.0,15687
14.1,15714
14.2,15741
14.3,15766
14.4,15792
14.5,15822
14.6,15847
14.7,15870
14.8,15894
14.9,15923
15.0,15943
15.1,15959
15.2,15992
15.3,16021
15.4,16046
15.5,16069
15.6,16090
15.7,16113
15.8,16135
15.9,16159
16.0,16189
16.1,16211
16.2,16238
16.3,16261
16.4,16294
16.5,16322
16.6,16345
16.7,16371
16.8,16395
16.9,16416
17.0,16438
17.1,16461
17.2,16484
17.3,16508
17.4,16541
17.5,16568
17.6,16584
17.7,16601
17.8,16623
17.9,16649
18.0,16672
18.1,16698
18.2,16720
18.3,16741
18.4,16767
18.5,16793
18.6,16822
18.7,16841
18.8,16869
18.9,16898
19.0,16918
19.1,16948
19.2,16973
19.3,16993
19.4,17016
19.5,17042
19.6,17067
19.7,17093
19.8,17116
19.9,17137
20.0,17154
20.1,17176
20.2,17200
20.3,17226
20.4,17243
20.5,17266
20.6,17287
20.7,17316
20.8,17340
20.9,17364
21.0,17389
21.1,17415
21.2,17443
21.3,17464
21.4,17485
21.5,17507
21.6,17538
21.7,17564
21.8,17586
21.9,17604
22.0,17632
22.1,17654
22.2,17684
22.3,17704
22.4,17721
22.5,17743
22.6,17769
22.7,17793
22.8,17816
22.9,17837
23.0,17855
23.1,17876
23.2,17896
23.3,17921
23.4,17947
23.5,17970
23.6,17992
23.7,18013
23.8,18033
23.9,18057
24.0,18078
24.1,18097
24.2,18113
24.3,18138
24.4,18159
24.5,18186
24.6,18205
24.7,18227
24.8,18248
24.9,18274
25.0,18299
25.1,18327
25.2,18345
25.3,18371
25.4,18394
25.5,18422
25.6,18446
25.7,18464
25.8,18491
25.9,18508
26.0,18526
26.1,18544
26.2,18563
26.3,18580
26.4,18605
26.5,18629
26.6,18654
26.7,18675
26.8,18698
26.9,18723
27.0,18749
27.1,18771
27.2,18786
27.3,18811
27.4,18839
27.5,18863
27.6,18885
27.7,18907
27.8,18933
27.9,18950
28.0,18975
28.1,18993
28.2,19008
28.3,19033
28.4,19056
28.5,19076
28.6,19099
28.7,19125
28.8,19146
28.9,19177
29.0,19195
29.1,19214
29.2,19237
29.3,19263
29.4,19294
29.5,19316
29.6,19335
29.7,19354
29.8,19374
29.9,19393
30.0,19413
30.1,19435
30.2,19458
30.3,19480
30.4,19500
30.5,19523
30.6,19546
30.7,19569
30.8,19589
30.9,19614
31.0,19636
31.1,19657
31.2,19680
31.3,19704
31.4,19720
31.5,19743
31.6,19761
31.7,19782
31.8,19806
31.9,19828
32.0,19852
32.1,19875
32.2,19897
32.3,19922
32.4,19937
32.5,19955
32.6,19983
32.7,20003
32.8,20031
32.9,20051
33.0,20081
33.1,20106
33.2,20125
33.3,20149
33.4,20174
33.5,20196
33.6,20218
33.7,20242
33.8,20268
33.9,20297
34.0,20318
34.1,20341
34.2,20360
34.3,20377
34.4,20398
34.5,20414
34.6,20440
34.7,20465
34.8,20491
34.9,20514
35.0,20542
35.1,20562
35.2,20585
35.3,20608
35.4,20631
35.5,20652
35.6,20672
35.7,20694
35.8,20722
35.9,20746
36.0,20775
36.1,20794
36.2,20813
36.3,20838
36.4,20863
36.5,20891
36.6,20913
36.7,20933
36.8,20953
36.9,20975
37.0,20998
37.1,21025
37.2,21049
37.3,21078
37.4,21101
37.5,21123
37.6,21142
37.7,21163
37.8,21186
37.9,21208
38.0,21233
38.1,21257
38.2,21283
38.3,21306
38.4,21334
38.5,21358
38.6,21384
38.7,21403
38.8,21432
38.9,21459
39.0,21484
39.1,21503
39.2,21531
39.3,21557
39.4,21579
39.5,21609
39.6,21630
39.7,21657
39.8,21688
39.9,21707
40.0,21731
40.1,21761
40.2,21784
40.3,21816
40.4,21839
40.5,21864
40.6,21885
40.7,21905
40.8,21930
40.9,21961
41.0,21985
41.1,22013
41.2,22035
41.3,22068
41.4,22099
41.5,22134
41.6,22161
41.7,22194
41.8,22220
41.9,22242
42.0,22268
42.1,22293
42.2,22317
42.3,22355
42.4,22382
42.5,22405
42.6,22434
42.7,22460
42.8,22486
42.9,22512
43.0,22540
43.1,22566
43.2,22595
43.3,22620
43.4,22648
43.5,22674
43.6,22707
43.7,22734
43.8,22763
43.9,22790
44.0,22821
44.1,22852
44.2,22881
44.3,22913
44.4,22938
44.5,22977
44.6,23005
44.7,23037
44.8,23068
44.9,23102
45.0,23133
45.1,23168
45.2,23198
45.3,23231
45.4,23271
45.5,23305
45.6,23334
45.7,23367
45.8,23398
45.9,23439
46.0,23468
46.1,23504
46.2,23543
46.3,23572
46.4,23599
46.5,23638
46.6,23675
46.7,23708
46.8,23741
46.9,23768
47.0,23804
47.1,23833
47.2,23861
47.3,23899
47.4,23932
47.5,23972
47.6,24008
47.7,24045
47.8,24083
47.9,24119
48.0,24156
48.1,24185
48.2,24231
48.3,24270
48.4,24305
48.5,24337
48.6,24373
48.7,24410
48.8,24449
48.9,24480
49.0,24515
49.1,24560
49.2,24598
49.3,24627
49.4,24658
49.5,24712
49.6,24746
49.7,24774
49.8,24801
49.9,24836
50.0,24876
50.1,24908
50.2,24951
50.3,24988
50.4,25040
50.5,25066
50.6,25109
50.7,25149
50.8,25187
